restaurant,period,forecast_origin,target_date,q025,q05,q20,q25,q35,median,q65,q75,q80,q95,q975,predictive_sd,lead_days,actual_sales,actual_available,run_id
all,forecast_horizon,2025-02-28,2025-03-01,47666.315820100404,48003.800839434516,48854.398965740416,49107.49683184524,49512.92394103358,49886.7335883575,50271.25151038197,50659.15016041256,50916.71379172732,51825.114153246504,52142.587079411394,1153.082923523976,1,,False,aggregate_independent_posterior_pairing
downtown,forecast_horizon,2025-02-28,2025-03-01,9137.885013463509,9246.521393137089,9730.212502725655,9822.128371744322,10054.120505808447,10293.610017859934,10548.03797029223,10756.213011231343,10864.00656649071,11340.553784335172,11578.56702742041,648.6448585967727,1,,False,2025-02-28_downtown
fscoffee,forecast_horizon,2025-02-28,2025-03-01,11755.764916760505,12075.905534849473,12526.798893584335,12616.537160232732,12768.644419846854,12995.600402305954,13224.70246260933,13371.970256233008,13461.814472372263,13884.186248451259,14073.310858359646,569.0392501142719,1,,False,2025-02-28_fscoffee
hurricane,forecast_horizon,2025-02-28,2025-03-01,13109.253380588652,13229.735460328298,13597.133793306693,13680.127197780093,13815.604444406923,14004.680891862905,14226.530287765983,14391.468428051747,14487.137208992457,14892.977723719265,15069.72545218978,519.3827510353316,1,,False,2025-02-28_hurricane
springdale,forecast_horizon,2025-02-28,2025-03-01,11490.417739888062,11727.927235087574,12147.285959727666,12253.209812059315,12370.828727011552,12578.51946131841,12759.487572597443,12920.495380543583,13004.537420711402,13426.59916309749,13584.084785413681,521.6043849743705,1,,False,2025-02-28_springdale
all,forecast_horizon,2025-02-28,2025-03-02,45931.09654677023,46469.41655178562,47386.55412120324,47560.746998791845,47904.83220731594,48423.5665212808,48928.72270251081,49239.3385974518,49474.243208119784,50496.384464717084,50785.72764685524,1225.8599347439679,2,,False,aggregate_independent_posterior_pairing
downtown,forecast_horizon,2025-02-28,2025-03-02,8158.461362357185,8354.675125639762,8798.888292318521,8924.667688763306,9095.67653338189,9355.204049848377,9602.065106834218,9775.333279913604,9904.522895716971,10525.479360055446,10818.34586202433,649.8308677346677,2,,False,2025-02-28_downtown
fscoffee,forecast_horizon,2025-02-28,2025-03-02,12008.85611543113,12217.555539041257,12795.498730856827,12943.034223941968,13131.72314381631,13355.8407391914,13588.713711064262,13734.987405282738,13840.476462228473,14369.968872954621,14518.865782327857,628.9096322541764,2,,False,2025-02-28_fscoffee
hurricane,forecast_horizon,2025-02-28,2025-03-02,12972.109892451195,13117.078990981794,13528.4153715239,13624.11326187146,13776.03180445322,13982.246363716382,14215.309093106107,14376.088365517942,14488.115874644673,14958.128684693704,15168.615856086148,568.2576460268012,2,,False,2025-02-28_hurricane
springdale,forecast_horizon,2025-02-28,2025-03-02,10679.042556166103,10805.049617230972,11208.751058125328,11308.569242517413,11465.1518333765,11697.39883276327,11927.87201839297,12092.312729833082,12206.122131670283,12641.696596660217,12788.05409588669,566.8996456705257,2,,False,2025-02-28_springdale
all,forecast_horizon,2025-02-28,2025-03-03,44955.88545049387,45304.07717724223,46272.51706025084,46480.56229674105,46847.02148438491,47303.65011118063,47757.21639550812,48091.6115574812,48367.95617792274,49450.68217723488,49806.56438233369,1249.4374691572584,3,,False,aggregate_independent_posterior_pairing
downtown,forecast_horizon,2025-02-28,2025-03-03,7177.450838724389,7390.072591134644,7944.798451647055,8058.35660656166,8238.910253573149,8526.237665170516,8766.68914557566,8967.416045661885,9077.110168492907,9591.506651900136,9823.83502055519,662.8881447443272,3,,False,2025-02-28_downtown
fscoffee,forecast_horizon,2025-02-28,2025-03-03,12812.819364689383,13119.415229435654,13638.812650104119,13756.514741526782,13954.202561932725,14232.442591506388,14465.108097814715,14631.472918833988,14771.182909122104,15211.654604757274,15339.822958882716,651.8452436852454,3,,False,2025-02-28_fscoffee
hurricane,forecast_horizon,2025-02-28,2025-03-03,12042.147650927263,12249.832409038934,12661.935300923758,12736.158374458173,12917.871011423162,13166.577765714863,13365.82919345355,13511.934450704006,13594.820329740529,14044.687232011327,14170.628409238221,549.1108919732496,3,,False,2025-02-28_hurricane
springdale,forecast_horizon,2025-02-28,2025-03-03,10313.556003603348,10553.57020869761,10999.866600032865,11104.348994861575,11267.363951351697,11476.391850882872,11698.988101333132,11848.952839461857,11947.150775249585,12398.855921579803,12561.183993224866,565.3493849616975,3,,False,2025-02-28_springdale
all,forecast_horizon,2025-02-28,2025-03-04,45397.12034684881,45750.680524204545,46719.56586933698,46940.27139222988,47250.705173638344,47712.41451650616,48226.35862739511,48561.13392335937,48686.286001261105,49663.17415777801,50136.69647567829,1188.2466808950455,4,,False,aggregate_independent_posterior_pairing
downtown,forecast_horizon,2025-02-28,2025-03-04,7361.342344204851,7557.451132061235,8035.930185281663,8173.372923994702,8384.617348849353,8605.576781750537,8834.076623197998,9032.043643722163,9127.271007997839,9676.454020525473,9836.70279818851,639.5080833632991,4,,False,2025-02-28_downtown
