restaurant,disturbance_type,disturbance_id,start_date,end_date,start_lower,start_upper,end_lower,end_upper,direction,support_probability,duration_days,effect_low_dollars_per_day,effect_median_dollars_per_day,effect_high_dollars_per_day,effect_low_percent,effect_median_percent,effect_high_percent,status_label,source_method
downtown,event,downtown_0_007,2024-07-20,2024-07-25,2024-07-16,2024-07-25,2024-07-25,2024-07-26,positive,0.245,6,612.0154727145142,939.7592162293481,1229.2912492240082,6.464232996587644,9.925929662289448,12.9840264011708,Detected event,frozen_state_aware_ar1_exact_enumeration
downtown,event,downtown_0_011,2024-08-21,2024-08-26,2024-08-19,2024-08-22,2024-08-25,2024-08-28,negative,0.6775,6,-1213.763766332315,-938.2743506131151,-596.3616308562739,-12.820021940928578,-9.910246206984995,-6.298893907014327,Detected event,frozen_state_aware_ar1_exact_enumeration
downtown,event,downtown_0_013,2024-09-24,2024-10-01,2024-09-22,2024-09-27,2024-09-29,2024-10-03,positive,0.6875,8,673.1434313820092,967.4368240268957,1218.9237619501364,7.10987903831246,10.218266234758714,12.874522873375636,Detected event,frozen_state_aware_ar1_exact_enumeration
downtown,event,downtown_0_019,2025-02-13,2025-02-19,2025-02-13,2025-02-15,2025-02-19,2025-02-20,negative,0.9225,7,-1581.322030092897,-1103.4247950717827,-811.9857438973621,-16.702247738638007,-11.654599087044978,-8.576360030865628,Detected event,frozen_state_aware_ar1_exact_enumeration
downtown,event,downtown_0_020,2025-02-21,2025-02-25,2025-02-20,2025-02-21,2025-02-24,2025-02-27,positive,0.9975,5,555.7779218506795,944.9374810581958,1225.452169018819,5.870240445502498,9.980623557891857,12.943477248338342,Detected event,frozen_state_aware_ar1_exact_enumeration
downtown,regime,downtown_cpd_2,2024-09-01,2024-09-27,2024-09-01,2024-09-01,2024-09-27,2024-09-27,positive,,27,-45.418609131596156,141.3145802191403,361.1825504632323,-0.47972066867096064,1.4925935913022461,3.8148842056893617,Long-lasting sales shift,truth-assisted synthetic CPD selection
fscoffee,event,fscoffee_0_007,2024-07-18,2024-07-26,2024-07-15,2024-07-18,2024-07-26,2024-07-28,positive,0.1975,9,884.5595802889035,1154.3107273492963,1461.4823086631015,6.429298486420164,8.389947243329278,10.62258123070537,Detected event,frozen_state_aware_ar1_exact_enumeration
fscoffee,event,fscoffee_0_009,2024-08-19,2024-08-30,2024-08-18,2024-08-22,2024-08-28,2024-08-30,negative,0.54,12,-1063.1412427571402,-741.7172026260345,-454.8191081979019,-7.727294503640886,-5.391068498334349,-3.3057895353715865,Detected event,frozen_state_aware_ar1_exact_enumeration
fscoffee,event,fscoffee_0_014,2025-02-13,2025-02-17,2025-02-12,2025-02-14,2025-02-16,2025-02-18,negative,0.65,5,-1921.4023810729705,-1400.9347376758865,-906.2511782370818,-13.965446416172307,-10.182499618139058,-6.586960854183688,Detected event,frozen_state_aware_ar1_exact_enumeration
fscoffee,event,fscoffee_0_015,2025-02-21,2025-02-28,2025-02-19,2025-02-21,2025-02-28,2025-02-28,positive,0.19,8,392.5270764352487,980.6468860880004,2495.8381755408277,2.853028551880956,7.127695726701656,18.14065322667514,Detected event,frozen_state_aware_ar1_exact_enumeration
fscoffee,regime,fscoffee_cpd_1,2024-07-23,2024-08-12,2024-07-23,2024-07-23,2024-08-12,2024-08-12,negative,,21,-620.8385613616583,-462.3080290818254,-294.4680605128284,-4.51247887855119,-3.360221716964378,-2.140300210344077,Long-lasting sales shift,truth-assisted synthetic CPD selection
hurricane,event,hurricane_0_001,2024-01-09,2024-01-12,2024-01-07,2024-01-11,2024-01-11,2024-01-13,positive,0.7375,4,556.2142592400168,873.251199184831,1242.1518597514535,4.236337817543578,6.6510108611322485,9.460697584033788,Detected event,frozen_state_aware_ar1_exact_enumeration
hurricane,event,hurricane_0_008,2024-06-06,2024-06-10,2024-06-03,2024-06-08,2024-06-09,2024-06-11,negative,0.635,5,-1242.7783823406417,-906.0972077427275,-589.9038458224546,-9.465469416639715,-6.901178464529004,-4.492930429699182,Detected event,frozen_state_aware_ar1_exact_enumeration
hurricane,event,hurricane_0_015,2024-09-29,2024-09-29,2024-09-26,2024-09-29,2024-09-29,2024-10-01,negative,0.3225,1,-1312.1947847010272,-841.740857887391,-469.71124914657406,-9.994170947734812,-6.411016203921479,-3.577498230275693,Detected event,frozen_state_aware_ar1_exact_enumeration
hurricane,event,hurricane_0_020,2024-12-16,2024-12-26,2024-12-15,2024-12-20,2024-12-24,2024-12-28,positive,0.435,11,519.0939498441961,798.609284456192,1134.9014114718639,3.9536155250455445,6.082509854755951,8.643837673581066,Detected event,frozen_state_aware_ar1_exact_enumeration
